Date,From Account,From Sender,To Account,To Recipient,Amount in Euro
2023-05-07,A001,Jane Smith,A002,123 Services,929.58
2023-04-17,A001,John Doe,A002,123 Services,4997.02
2023-07-26,A002,Alice Johnson,A002,Tech Solutions,7347.29
2023-03-04,A003,Jane Smith,A005,ABC Inc,5705.36
2023-10-11,A002,John Doe,A002,XYZ Corp,1258.22
2023-03-14,A003,Charlie Davis,A004,Tech Solutions,6655.33
2023-01-04,A003,John Doe,A001,Global Traders,5155.07
2023-06-12,A004,John Doe,A005,XYZ Corp,7961.03
2023-08-15,A002,Jane Smith,A002,Global Traders,2780.66
2023-01-06,A005,Jane Smith,A003,Tech Solutions,2909.52
2023-12-12,A004,Jane Smith,A003,ABC Inc,3489.97
2023-12-01,A001,Alice Johnson,A004,ABC Inc,731.52
2023-03-26,A005,Alice Johnson,A005,ABC Inc,3876.24
2023-04-07,A005,John Doe,A004,XYZ Corp,8475.33
2023-02-26,A001,John Doe,A003,XYZ Corp,1196.43
2023-04-12,A004,Alice Johnson,A001,Tech Solutions,6633.71
2023-03-29,A005,Charlie Davis,A005,123 Services,4975.28
2023-02-23,A004,Charlie Davis,A005,ABC Inc,3498.56
2023-12-11,A004,Alice Johnson,A003,ABC Inc,3416.08
2023-10-22,A002,Jane Smith,A003,ABC Inc,2510.42
2023-06-20,A002,John Doe,A004,XYZ Corp,9040.25
2023-06-11,A005,Charlie Davis,A004,XYZ Corp,4575.78
2023-09-02,A004,Jane Smith,A003,123 Services,9975.72
2023-09-05,A003,Alice Johnson,A005,Tech Solutions,1876.14
2023-05-21,A004,Charlie Davis,A001,123 Services,2870.55
2023-02-02,A003,Charlie Davis,A001,123 Services,8941.26
2023-11-09,A003,Alice Johnson,A005,XYZ Corp,4307.5
2023-09-09,A002,John Doe,A002,XYZ Corp,4238.99
2023-12-21,A001,Bob Brown,A003,123 Services,4597.84
2023-09-06,A004,Bob Brown,A001,Global Traders,8973.57
2023-04-09,A004,Bob Brown,A004,ABC Inc,7179.22
2023-04-17,A005,Jane Smith,A005,Global Traders,5309.32
2023-06-15,A002,Alice Johnson,A004,123 Services,9187.2
2023-11-19,A004,Jane Smith,A004,123 Services,3457.47
