Date,From Account,From Sender,To Account,To Recipient,Amount in Euro
2023-02-09,A004,Jane Smith,A005,ABC Inc,5065.7
2023-05-27,A005,Bob Brown,A001,Global Traders,6396.73
2023-11-22,A001,Bob Brown,A005,Global Traders,2487.55
2023-11-28,A003,Bob Brown,A005,Global Traders,9297.33
2023-12-11,A003,Jane Smith,A002,123 Services,4264.68
2023-07-09,A002,Charlie Davis,A003,123 Services,7561.03
2023-11-21,A005,Bob Brown,A001,Global Traders,2158.13
2023-07-24,A003,John Doe,A005,XYZ Corp,3543.71
2023-07-02,A001,Bob Brown,A001,Global Traders,9562.76
2023-08-04,A004,John Doe,A002,123 Services,7220.95
2023-08-03,A004,John Doe,A004,123 Services,9440.17
2023-09-25,A005,John Doe,A002,123 Services,5891.3
2023-05-31,A004,John Doe,A004,Tech Solutions,3493.53
2023-07-15,A003,Alice Johnson,A001,ABC Inc,2772.98
2023-09-04,A002,Jane Smith,A002,123 Services,3633.07
2023-03-08,A002,Jane Smith,A004,ABC Inc,2929.6
2023-07-09,A002,Bob Brown,A004,Global Traders,5257.44
2023-01-23,A001,Alice Johnson,A004,ABC Inc,874.46
2023-04-19,A001,Jane Smith,A003,XYZ Corp,6603.88
2023-10-01,A002,Jane Smith,A001,Global Traders,9371.93
2023-05-09,A004,Charlie Davis,A001,XYZ Corp,6330.57
2023-09-03,A002,Alice Johnson,A004,XYZ Corp,8063.39
2023-05-15,A001,Charlie Davis,A002,123 Services,3101.53
2023-12-22,A005,Alice Johnson,A001,ABC Inc,7139.69
2023-12-13,A003,Bob Brown,A004,123 Services,1419.26
2023-11-04,A002,John Doe,A002,Tech Solutions,2023.65
2023-09-25,A004,Jane Smith,A003,Global Traders,4291.73
2023-02-23,A001,Jane Smith,A001,ABC Inc,9411.72
2023-05-07,A001,Alice Johnson,A001,Tech Solutions,4404.91
2023-07-16,A002,Bob Brown,A002,Global Traders,2699.15
2023-02-05,A001,Alice Johnson,A003,123 Services,2092.26
2023-10-21,A003,Charlie Davis,A005,XYZ Corp,4017.02
2023-08-05,A003,Alice Johnson,A003,Tech Solutions,4576.49
2023-05-19,A003,John Doe,A005,XYZ Corp,8216.44
2023-08-05,A003,Charlie Davis,A004,XYZ Corp,8151.28
2023-08-02,A001,Charlie Davis,A001,123 Services,5507.69
2023-09-20,A002,Bob Brown,A004,Global Traders,1999.46
2023-08-03,A001,Alice Johnson,A001,XYZ Corp,1783.37
2023-05-24,A005,Bob Brown,A001,Global Traders,3815.31
2023-06-24,A005,Alice Johnson,A004,ABC Inc,8852.89
2023-04-01,A001,Charlie Davis,A001,123 Services,362.1
2023-02-06,A005,Bob Brown,A001,Global Traders,9669.66
2023-08-05,A005,Charlie Davis,A002,XYZ Corp,9582.49
2023-01-07,A003,Bob Brown,A003,ABC Inc,1152.94
2023-08-20,A002,John Doe,A002,123 Services,9449.78
2023-04-23,A001,Bob Brown,A004,XYZ Corp,8439.2
2023-04-30,A002,Jane Smith,A003,ABC Inc,9393.09
2023-07-03,A005,Jane Smith,A005,XYZ Corp,999.85
2023-05-13,A005,John Doe,A005,Global Traders,7285.8
